;ComplaintType;Complaint;Date;Decision;Report_name;PrimaryKey
4356;Press and Defamation;Complaint of Sh. Satpal Singh Chhabra of Saharanpur against Saharanpur Darshan of Saharanpur.;September  20, 1993;Warned;AnnualReport1994;4356
4359;Press and Defamation;Complaint of Sh. Kailash Chandra Shah against;Nav Bharat Times.;Despleasure Expressed;AnnualReport1994;4359
4361;Press and Defamation;Complaint of Indian Institute of Tech-nology, Kanpur against Amar Ujala, Kanpur.;January 24, 1994;Contradiction directed;AnnualReport1994;4361
4366;Press and Defamation;Complaint of Sh. Subhash Sharma, IAS, Chief Secretary, Govt. of Pon-dicherry against Union Territory Inde-pendent, English Fortnighly, N.D.;Settled;Settled;AnnualReport1994;4366
4367;Press and Defamation;Complaint of Sh. Satpal Singh Chhabra of Saharanpur against Saharanpur Darshan of Saharanpur.;Settled;Warned;AnnualReport1994;4367
4371;Press and Defamation;Complaint of Indian Institute of Tech-nology, Kanpur against Amar Ujala, Kanpur.;Settled;Contradiction directed;AnnualReport1994;4371
4378;Press and Defamation;Complaint of Ms. Anuja Gupta and Sh. Jagdish Bhardwaje, AIDS Bhedbhav Virodhi Andolan, N.D. against Sunday, Calcutta.;January 24, 1994;Settled;AnnualReport1994;4378
4381;Press and Defamation;Complaint of Dr. Pushpendra Sharma, Patlawad against Langoti Swar, Hindi weekly, Patlawad, M.P.;January 24, 1994;Censured;AnnualReport1994;4381
4389;Press and Defamation;Complaint of Chairman, New Phaltan Sugar Works Ltd., Satara (Mah.) against Loksatta, Pune.;January 24, 1994;Rejoinder directed;AnnualReport1994;4389
4398;Press and Defamation;Complaint of Sh. Noor-Ul-Hassan, Journalist of Guna (M.P.) against Jan-satta, N.D.;January 24, 1994;Version directed;AnnualReport1994;4398
4405;Press and Defamation;Complaint of Smt. K. Sobha against Andhra Bhoomi Telugu daily of A.P.;March 28, 1994;Dismissed;AnnualReport1994;4405
4408;Press and Defamation;Complaint of Sh. K. Narayana, Police Constable Chikmagalur against Galcya.;March 28, 1994;Settled;AnnualReport1994;4408
4417;Press and Defamation;Complaint of the President, IMA Branch, Guna, M.P. against Jansatta, N.D.;March 28, 1994;Warned;AnnualReport1994;4417
4418;Press and Defamation;Complaint of Sh. M.L. Verma, District Agriculture Officer, Sitapur against Jagpahiya, Hindi weekly of Sitapur.;March 28, 1994;Disposed with observations;AnnualReport1994;4418
4422;Press and Defamation;Complaint of Sh. Shailandra Kumar, Sr. Personnel Officer, North Eastern Railway, Gorakhpur against Dainik Swatantra Chetna, Gorakhpur.;March 28, 1994;Rejoinder directed;AnnualReport1994;4422
4426;Press and Defamation;Complaint of Sh. Nahar Singh Yadav, Advocate and National General Secretary, Samajvadi Yuva Jan Sabha against Dainik Hint, Ghaziabad.;March 28, 1994;Editor offers to publish complainant's version-matter closed;AnnualReport1994;4426
4427;Press and Defamation;Complaint of Sh. A.L. Sirpaul, N.D. against Rashtriya Sahara, N.D.;March 28, 1994;Partly upheld;AnnualReport1994;4427
4444;Principles and Publication;Complaint of Shri Ravi Gupta, Journalist, Chhattarpur, M.P. against Chhattarpur Bhramar, Chhatarpur, M.P;.February 9, 2006;Censured;AnnualReport2006;4444
4447;Press and Defamation;Complaint of Dr. Om Prakash Bhandari and Smt. Radha Bhandari, Chittorgarh, Rajasthan against Surya Rath, Chittorgarh, Rajasthan.;June 28, 2005;Censured;AnnualReport2006;4447
4473;Press and Defamation;Complaint of Shri Jagdish Sewalani, M/s Vishnu Agency, Marwar Junction, Pali-Marwar (Rajasthan) against Garib Sathi, Jodhpur, Rajasthan. ’’;October 7, 2005;Censured;AnnualReport2006;4473
4479;Press and Defamation;Complaint of Dr. (Mrs.) Kusum Sharma, Medical Women Hospital, Bharatpur, Rajasthan against Lal Nishan, Bharatpur, Rajasthan. ’’;October 7, 2005;Admonished;AnnualReport2006;4479
4480;Press and Defamation;Complaint of Ms. Indu Chadha, Principal, Government College, Gurgaon, Haryana against Hindustan, New Delhi. ’’;October 7, 2005;Censured;AnnualReport2006;4480
4481;Press and Defamation;Complaint of Ms. Indu Chadha, Principal, Government College, Gurgaon, M Haryana against Amar Ujala, Noida, U.P. ’’;October 7, 2005;Directions;AnnualReport2006;4481
4485;Press and Defamation;Complaint of Dr. N.K. Rai, Joint Director, Institute of Human Behaviour & Allied Sciences, Delhi against Sabki Khabar, Delhi. ’’ Disposed of;October 7, 2005;with directions;AnnualReport2006;4485
4487;Press and Defamation;Complaint of Shri K. Raghava Reddy, G.M. Medinova Diagnostic Services Ltd. and Shri J.A. Kumara Swamy, Marketing Manager, Medinova Diagnostic Services Ltd., Bangalore against Agni Idhu Pathrikeyalla Prathibhataneya Astra, Bangalore. ’’ Dismissed in;October 7, 2005;default;AnnualReport2006;4487
4491;Press and Defamation;Complaint of The Assistant Regional Transport Officer (Administration) Sultanpur, U.P. against Dainik Jagran, Kanpur, U.P. ’’;October 7, 2005;Dismissed;AnnualReport2006;4491
4492;Press and Defamation;Complaint of Shri Bharat Bhushan Bansal, Proprietor, M/s Ramlal Chandanlal,  Muzaffarnagar, U.P. against Amar Ujala, Meerut, U.P.;October 7, 2005;Directions;AnnualReport2006;4492
4493;Press and Defamation;Complaint of Shri Mehboob Ali, M.L.A., Former State Minister of Waqf, Amroha, U.P. against Amar Ujala, Moradabad, U.P. ’’;October 7, 2005;Dismissed;AnnualReport2006;4493
4500;Press and Defamation;Complaint of M/s Shahi Export House, Faridabad, Haryana against ‘‘Bigul’’, Lucknow, U.P. ’’;October 7, 2005;Warned;AnnualReport2006;4500
4502;Press and Defamation;Complaint of Dr. Bimal Kundu, Hooghly, West Bengal against Mafaswal Bani, Hooghly, West Bengal;October 7, 2005;Warned;AnnualReport2006;4502
4511;Press and Defamation;Complaint of Shri R. Raghu, Chairman, Karnataka Exhibition Authority, Mysore against Andholan Dinapatrike, Mysore.;October 7, 2005;Dismissed;AnnualReport2006;4511
4513;Press and Defamation;;84.Complaint of Shri P.R. Ramesh, Mayor, Bangalore City Corporation, Bangalore,;Karnataka against The Times of India, Bangalore. ’’ Dismissed;AnnualReport2006;4513
4514;Press and Defamation;Complaint of Shri P.R. Ramesh,;Mayor, Bangalore City Corporation, Bangalore, Karnataka against Vijay;Karnataka, Bangalore. ’’ Dismissed;AnnualReport2006;4514
4515;Press and Defamation;Complaint of Shri N.R. Jagadesh, Chairman Sarvodaya Trust, Tumkur, Karnataka against Hai Bangalore, Bangalore. ’’;Mayor, Bangalore City Corporation, Bangalore, Karnataka against Vijay;Warned;AnnualReport2006;4515
4516;Press and Defamation;Complaint of Shri Prakash Tapa Shetty, Chairman, Basaveshwara Co-operative Bank, Bagalkot, Karnataka against Hai Bangalore, Bangalore. ’’;Mayor, Bangalore City Corporation, Bangalore, Karnataka against Vijay;Withdrawn;AnnualReport2006;4516
4518;Press and Defamation;Complaint of The Managing Director, A.P. State Warehousing Corporation, Hyderabad against Vartha, Vijayawada, Andhra Pradesh ’’;Mayor, Bangalore City Corporation, Bangalore, Karnataka against Vijay;Censured;AnnualReport2006;4518
4519;Press and Defamation;Complaint of Shri Ramoji Rao, Chief of Eenadu Group of Companies and General Manager of Ramoji Film City, Hyderabad, Andhra Pradesh against Vartha, Hyderabad. ’’;Mayor, Bangalore City Corporation, Bangalore, Karnataka against Vijay;Admonished.;AnnualReport2006;4519
4521;Press and Defamation;Complaint of Shri K. Rama Krishna, Vijayawada, A.P. against Andhra Jyoti, Vijaywada, Andhra Pradesh. ’’ Disposed of;October  7, 2005;with directions;AnnualReport2006;4521
4522;Press and Defamation;Complaint of Shri K. Rama Krishna, Vijayawada, A.P. against Eenadu, Vijayawada, Andhra Pradesh. ’’ Disposed of;October  7, 2005;with directions;AnnualReport2006;4522
4524;Press and Defamation;Complaint of Shri G.M. Joseph Raj, Principal, St. Antony's Matriculation and Higher Secondary School, Chennai against Dinamalar, Chennai. ’’ Dismissed being;October  7, 2005;devoid of merit;AnnualReport2006;4524
4525;Press and Defamation;Complaint of Shri K.M. Kurian, Commercial Manager, M/s Air India Ltd., Cochin, Kerala against Kerala Mid Day Times, Kochi, Kerala. ’’;October  7, 2005;Closed;AnnualReport2006;4525
4528;Press and Defamation;Complaint of Manager Secretary, Sandila Girl's Intermediate College, Sandila, Hardoi, Uttar Pradesh against Hindustan, Lucknow, U.P. ’’;February 9, 2006;Reprimanded;AnnualReport2006;4528
4530;Press and Defamation;Complaint of Shri L.P. Sinha, Managing Director, Bihar State Hydroelectric power Corporation, Patna against Prabhat Khabar, Patna.;February 9, 2006;Upheld;AnnualReport2006;4530
4531;Press and Defamation;Complaint of Shri Vijay Kumar Sinha, Patna against Aj, Patna. ’’ Offers to publish;February 9, 2006;clarification;AnnualReport2006;4531
4534;Press and Defamation;Complaint of Shri Vijay Kumar Sinha, Patna against Hindustan. ’’ offers to publish;February 9, 2006;clarification;AnnualReport2006;4534
4538;Press and Defamation;Complaint of Shri Ravinder Dwivedi, National President, Bhrastachar Nirmulan Samiti, Thane against Janambhoomi. ’’;February 9, 2006;Dismissed;AnnualReport2006;4538
4549;Press and Defamation;Complaint of Shri I. Venkateshwarulu IAS, Managing Director, A.P. State Warehousing Corporation, Hyderabad against Eenadu, Hyderabad.;February 9, 2006;Dismissed-not pursued;AnnualReport2006;4549
4551;Press and Defamation;Complaint of Shri S.A. Rahim, Chairman, Participatory Employment Net, (PEN-INDIA) Mehboobnagar, Andhra Pradesh against Vartha, Hyderabad. ’’ Dismissed-not;February 9, 2006;pursued;AnnualReport2006;4551
4554;Press and Defamation;Complaint of Mrs. Indira, Kottivakkam, Chennai against Dinamalar. ’’ Dismissed-not;February 9, 2006;pursued;AnnualReport2006;4554
4555;Press and Defamation;Complaint of Mrs. Indira, Kottivakkam, Chennai against Daily Thanthi. ’’ Dismissed-not;February 9, 2006;pursued;AnnualReport2006;4555
4556;Press and Defamation;Complaint of Mrs. Indira, Kottivakkam, Chennai against Dhinamani, Chennai. ’’ Dismissed-not;February 9, 2006;pursued;AnnualReport2006;4556
4557;Press and Defamation;Complaint of Prof. Dr. S. Jaishankar, MD.,  D.M. (CARD) Nizams Institute of Medical Sciences, Punjagutta, Hyderabad, Andhra Pradesh against Eenadu, Hyderabad, Andhra Pradesh. ’’;February 9, 2006;Dismissed;AnnualReport2006;4557
4558;Press and Defamation;Complaint of S/Shri Rajpal Singh, Property Dealer, Geeta Colony, Delhi and Harish Rastogi, Gold Jewellery Dealer, Delhi against Punjab Kesari, Delhi. ’’;February 9, 2006;Warned;AnnualReport2006;4558
4560;Press and Defamation;Complaint of Ms. CTM Suguna, IAS Collector and DM, Mayurbhanj, Orissa against Dharitri, Bhubaneswar.;February 9, 2006;Reprimanded;AnnualReport2006;4560
4561;Press and Defamation;Complaint of Ms. CTM Suguna, IAS,;Collector and DM, Mayurbhanj, Orissa against Dharitri, Bhubaneswar.;’’ Reprimanded;AnnualReport2006;4561
4562;Press and Defamation;Complaint of Ms. Swarnali Brohmo Choudhary, Bongaigaun, Assam against Dainik Agradoot, Guwahati. ’’;Collector and DM, Mayurbhanj, Orissa against Dharitri, Bhubaneswar.;Censured;AnnualReport2006;4562
4563;Press and Defamation;Complaint of Ms. Swarnali Brohmo Choudhary, Bongaigaun, Assam against Aaji, Guwahati. ’’;Collector and DM, Mayurbhanj, Orissa against Dharitri, Bhubaneswar.;Censured;AnnualReport2006;4563
4568;Press and Defamation;Complaint of Shri Kolagani Apparao, Secretary, Human Rights Council, Visakhapatnam, Andhra Pradesh against Eenadu, Hyderabad. ’’ Disposed of;Collector and DM, Mayurbhanj, Orissa against Dharitri, Bhubaneswar.;;AnnualReport2006;4568
4574;Press and Morality;Complaint of Shri P.K. Dhande, Indore M.P. against Grih Sobha, New Delhi.;October 7, 2005;No further action;AnnualReport2006;4574
4582;Press and Morality;Complaint of Ms. Pramodini Pradhan, Secretary, People's Union for Civil Liberties, (PUCL) Bhubaneswar, Orissa against Dharitri, Bhubaneshwar.;February 9, 2006;Upheld;AnnualReport2006;4582
4586;Principles and Publications;Complaint of Shri Rohit Yadav, Journalist, Rewari against Punjab Kesari, New Delhi.;January 24, 2003;Dismissed;AnnualReport2003;4586
4587;Principles and Publications;Complaint of Mrs. M. Titus, Principal, Air Force Bal;Bharati School, New Delhi against The Hindustan Times, New Delhi.;Directions to publish rejoinder;AnnualReport2003;4587
4588;Principles and Publications;Complaint of Dr. Shivcharan Yadav, Executive Member, Narnaul against Dainik Punjab Kesari, New Delhi.;Bharati School, New Delhi against The Hindustan Times, New Delhi.;Cautioned;AnnualReport2003;4588
4626;Press and Defamation;Complaint of Shri Umashankar Gupt, Kanpur against Amar Ujala, Kanpur.;October 7, 2002;Sub-judice;AnnualReport2003;4626
4630;Press and Defamation;Complaint of Shri Bijay Khaitan, Varanasi against Gandiv, Varanasi.;October7,2002;Disposed with observations;AnnualReport2003;4630
4640;Press and Defamation;Complaint of Shri Bhajan Singh. Α.Ε.Ο. of Education Department, U.T. Administration, Chandigarh against Chandigarh Bhaskar, Chandigarh.;October 7,2002;Directions to publish clarification;AnnualReport2003;4640
4650;Press and Defamation;Complaint of the Director, Information. Cultural Affairs & Tourism, Government of Tripura against Dainik Sambad, Agartala.;January 24. 2003;Cautioned;AnnualReport2003;4650
4652;Press and Defamation;Complaint of Shri S.P. Vashishth, IFS, Divisional Forest Officer, Mangaldai Wildlife Division, Mangaldai (Assam) against Dainik Agradoot, Guwahati.;January 24. 2003;Directions to publish clarification;AnnualReport2003;4652
4653;Press and Defamation;Complaint of Shri M. Rajamani, IAS, Managing Director, Orissa Mining Corporation, Bhubneshwar against Sambad, Bhubaneswar.;January 24. 2003;Directions to publish rejoinder;AnnualReport2003;4653
4654;Press and Defamation;Complaint of Shri M. Rajamani, IAS, Managing Director, Orissa Mining Corporation, Bhubaneswar against Prajatantra, Cuttack.;January 24. 2003;Dismissed;AnnualReport2003;4654
4655;Press and Defamation;Complaint of Shri M Rajamani, IAS. Managing Director, Orissa Mining Corporation, Bhubaneswar against Prajatantra, Cuttack.;January 24. 2003;Directions to publish rejoinder;AnnualReport2003;4655
4658;Press and Defamation;Complaint of Dr. Monu Pattanayak, Shanti Memorial Hospital, Rourkela against Utkal Mail, Rourkela.;January 24, 2003;Warned;AnnualReport2003;4658
4659;Press and Defamation;Complaint of Shri Achyut Das, Director. AGRAGAMEE, Rayagada, Orissa against The Dharitri, Bhubaneswar.;January 24, 2003;Directions to publish rejoinder;AnnualReport2003;4659
4661;Press and Defamation;Complaint of Shri N.K. Kherada, Director of Mines Safety (SD), Dhanbad against Awaz, Dhanbad.;Dismissed79. Complaint of Shri Banchhanidhi Pradhan, Sub-Inspector of Police, Malkangiri, Orissa against Sambad, Bhubaneswar.;Warned;AnnualReport2003;4661
4663;Press and Defamation;Complaint of Shri Narendra Bhagat, Secretary, Cabinet Secretariat & Co-ordination Department (Parliament Affairs, Information, Public Relations & Tourism) Government of Jharkhand, Ranchi against Hindustan, Ranchi.;Dismissed79. Complaint of Shri Banchhanidhi Pradhan, Sub-Inspector of Police, Malkangiri, Orissa against Sambad, Bhubaneswar.;Amends made;AnnualReport2003;4663
4664;Press and Defamation;Complaint of Shri Suresh Kumar Singh. Manager (MO). Indian Oil Corporation Ltd., Ranchi against Drishtipat, Ranchi.;January 24, 2003;Warned;AnnualReport2003;4664
4671;Press and Defamation;Complaint of Shri Ranen Sen, Kolkata (West Bengal) against Barataman, Kolkata.;January 24, 2003;Directions to publish rejoinder;AnnualReport2003;4671
4678;Press and Defamation;Complaint of Shri Devendra Gupta, Founder, Anupama College of Engg., Gurgaon against Amar Ujala, Chandigarh..;January 24, 2003;Directions to publish complainant's version;AnnualReport2003;4678
4680;Press and Defamation;Complaint of Shri Yogesh Mahajan, District President, Flying Squad Anti Corruption. Pathankot against Punjab Kesari, Jalandhar;January 24, 2003;Dismissed;AnnualReport2003;4680
4682;Press and Defamation;Complaint of Dr. Ramesh Chand Tomar, M.P, New Delhi against Amar Ujala, Meerut.;January 24, 2003;Directions to publish rejoinder;AnnualReport2003;4682
4690;Press and Defamation;Complaint of Shri D.K. Chopra against Jansatta, New Delhi.;January 24, 2003;Dismissed;AnnualReport2003;4690
4692;Press and Defamation;Complaint of Shri D.K. Chopra against Hindustan, New Delhi:;January 24, 2003;Dismissed;AnnualReport2003;4692
4701;Press and Morality;Suo-motu action against The Telegraph,;Kolkata for publication of obscene photograph in its issue dated 28.05.2001.January 24, 2003;Cautioned;AnnualReport2003;4701
4702;Press and Morality;Suo-motu action against The Asian Age, New Delhi for publication of obscene photographs.;Kolkata for publication of obscene photograph in its issue dated 28.05.2001.January 24, 2003;Disposed of with observations;AnnualReport2003;4702
4724;Principles and Publications;Complaint of Dr. C. Venkatakrishnan, Salem, Chennai, the Editor, Tamil Nadu against Dhinathanthi, Tamil Salem, Nadu ;March 31, 2010 ;No action ;AnnualReport2010;4724
4728;Principles and Publications;Suo motu action against the Editor, Hamara Kaam, Kolkata Censured 33. Complaint of Shri Rakesh Kumar Agnihotri, Jhansi, U.P. against the Editor, Dainik Jagran, Jhansi, U.P. ;March;Upheld ;AnnualReport2010;4728
4752;Press and Defamation ;Complaint of Shri M. Subramanya Vaidya, District Health Education Officer (Retd.), Karnataka the Editor, against Hai Marutha, Karnataka Udupi, ;June 9, 2009;Closed ;AnnualReport2010;4752
4802;Press and Defamation ;Complaint of Shri Mohiuddin Ali Khan, Hyderabad, Andhra Pradesh the Editor, against Sakshi, Andhra Hyderabad, Pradesh ;February 22, 2010;Settled;AnnualReport2010;4802
4862;Principles and Publications;Complaint of Dr. M.L. Patel, Surat against Dhabkar, Surat;April 17,2000; Dismissed being baseless;AnnualReport2001;4862
4913;Principles and Publications;Complaint of Shri K. Rami Reddy, Secretary, East Godavari District Consumers' Aid, Advice and Welfare Society, Kakinda against Eenadu, Hyderabad;August 28, 2000;Dismissed with observations;AnnualReport2001;4913
4919;Principles and Publications;Complaint of Shri K Ramachandran, Assistant Press Registrar, RNI New Delhi against Four Newspapers of Etah;August 28, 2000;Upheld;AnnualReport2001;4919
4922;Principles and Publications;Complaint of the Principal, Sainik School against Amar Asom, Assam;August 28, 2000;Directions to publish clarification;AnnualReport2001;4922
4929;Principles and Publications;Complaint of Shri Ajit Goyal, General Secretary, Kashipur Journalist Association, Udham Singh Nagar, U.P. against Aaj, Bareilly;October16,2000;Directions;AnnualReport2001;4929
4933;Principles and Publications;Complaint of Superintendent of Police, Dewas, M.P. against Editor, Dewas Bhraman, Dewas;March26,2001;Assurance;AnnualReport2001;4933
4934;Principles and Publications;Complaint of Deputy General Manager (Administration), Ayudh Nirman Board, Itarsi against Nav Bharat, Bhopal;March26,2001;Upheld;AnnualReport2001;4934
4939;Press and Defamation;Complaint of Shri Satish Thusu, Vice-President, Meerut Developers (P) Ltd. Against Amar Ujala, Meerut;June 12, 2000;Upheld;AnnualReport2001;4939
4946;Press and Defamation;Complaint of Smt. Memwati Devi, Staff Nurse, District Hospital, Bareilly (through advocate) against Janmorcha, Bareilly issue dated 29.1.1999.;June 12,2000;Withdrawn;AnnualReport2001;4946
4954;Press and Defamation;Complaint of Shri Nandu Satam, Mayor of Mumbai against Mahanagar;August 28,2000;Upheld;AnnualReport2001;4954
4956;Press and Defamation;Complaint of the Chief Commissioner of Customs, Mumbai against The Asian Age, Mumbai;August 28,2000;Upheld;AnnualReport2001;4956
4959;Press and Defamation;Complaint of Dr. (Ms.) Ranjit Pawar, District Food and supplies Controller, Jallandhar, Punjab against Aaj Ka Jalandhar;August 28,2000;Upheld;AnnualReport2001;4959
4961;Press and Defamation;Complaint of the Convenor, Legal Cell, Integrated Tribal Development Agency, Rampachodavaram against Eenadu, East Godavari;August 28,2000;Dismissed with observations;AnnualReport2001;4961
4963;Press and Defamation;Complaint of Medical Officer, Government Homeo Dispensary, Gajapati against Matrubhasha;August 28,2000;Directions to publish clarification;AnnualReport2001;4963
4967;Press and Defamation;Complaint of Medical Officer, Government Homeo Dispensary, Gajapati against Dharitri;August28,2000;Directions to publish clarification;AnnualReport2001;4967
4970;Press and Defamation;Complaint of Shri T. Damu, Vice-President, Tata Tea Ltd., Munnar, Kerala, Thaniniram Daily;August28,2000;Upheld;AnnualReport2001;4970
4973;Press and Defamation;Complaint of Shri Xavier William, Cochin against Deshabhimani, Ernakulam, Kerala;August28,2000;Upheld;AnnualReport2001;4973
4975;Press and Defamation;Complaint of Sh. Surendra Patra, Journalist, Bhubaneshwar against Sunday, Calcutta;August28,2000;Upheld;AnnualReport2001;4975
4977;Press and Defamation;Complaint of Shri Kailash Chandra Guru, Inspector of Schools, Sambalpur against Sambad, Sambalpur, Orissa;August28,2000;Amends made;AnnualReport2001;4977
4979;Press and Defamation;Complaint of Shri Naren Singh 'firia through his counsel against Pragativadi, Bhubaneswar;August 28, 2000;Upheld;AnnualReport2001;4979
4980;Press and Defamation;Complaint of Shri Tapan Kumar Roy, Secretary, Balasore Division Estate Development and Plantation Co-operative Society against Samaya, Bhubaneswar;August 28, 2000;Upheld;AnnualReport2001;4980
4990;Press and Defamation;Complaint of Sh. Phalguni Matilal, New Delhi against Outlook;Upheld131. Coraplaint of Smt. Saroj Sharma, New Delhi against Aman Khoj, New Delhi; Directions to publish;AnnualReport2001;4990
4992;Press and Defamation;Complaint of Dr. Jayanta Rongpi, Member of Parliament, Lok Sabha against P.T.I.;August 28,2000;Upheld;AnnualReport2001;4992
4997;Press and Defamation;Complaint of Shri P.G. Baruah, Senior Advocate, Guwahati against Dainik Agradoot, Guwahati;August 28,2000;Directions to publish clarification;AnnualReport2001;4997
5000;Press and Defamation;Complaint of Dr. (Smt.) Sreelekha Roy, Executive Secretary, Voluntary Health Association of Tripura (VHAT) against Dainik Sambad, Agartala;August 28,2000;Upheld;AnnualReport2001;5000
5003;Press and Defamation;Complaint of Shri G.S. Bhagya Rao, Visakha-patnam, Andhra Pradesh against Vartha, Visakha-patnam, Andhra Pradesh;August 28,2000;Upheld ;AnnualReport2001;5003
5008;Press and Defamation;Complaint of Director, Westfort Hospital, Trichur (Kerala) against Mathrubhumi, Thrissur;August 28,2000;Dismissed for lack of substance ;AnnualReport2001;5008
5010;Press and Defamation;Complaint of Malappuram Jilla Upabokthru Samrakshana Samiti, Tirur against Mathrubhumi;August 28,2000;Dismissed-devoid of merit;AnnualReport2001;5010
5025;Press and Defamation;Complaint of Shri Tarkeshwar Prasad, Purvi;Champaran, Bihar against Taapman;Upheld;AnnualReport2001;5025
5029;Press and Defamation;Complaint of Dr. M.K. Singh, Head & Reader in Commerce, Sindri College, Sindri against Aaj, Patna, Bihar;October 16, 2000;176. Upheld;AnnualReport2001;5029
5033;Press and Defamation;Complaint of Shri Saurabh Garg, IAS, Collector and District Magistrate, Keonjhar, Orissa against The Asian Age, Calcutta;October 16, 2000;Disposed of with observations;AnnualReport2001;5033
5051;Press and Defamation;Complaint of Shri Mohd. Suleman, Collector, Siwni, M.P. against Sanwad Kunj;October16,2000;Sub-judice;AnnualReport2001;5051
5052;Press and Defamation;Complaint of Shri Subhash Mandge, General Manager, Indore Dugdh Sangh Sahakari, Indore against Chautha Sansar;October16,2000;Withdrawn;AnnualReport2001;5052
5056;Press and Defamation;Complaint of Shri Bhau Sule, President, Phal Phool & Bhajipala Seller & Hawker Workers Organisation, Thane (Maharashtra) against Jaantechi Rashtrasatta, Thane;October16,2000;Dismissed as unsubstantiated;AnnualReport2001;5056
5057;Press and Defamation;Complaint of Mr. Mahendra C. Dhorte, Pune, Maharashtra against Daily Kesari, Pune, Maharashtra;October16,2000;Outside jurisdiction;AnnualReport2001;5057
5058;Press and Defamation;Complaint of Ms. Preeti Nair, Vadodra against Sandesh;October16,2000;Upheld;AnnualReport2001;5058
5069;Press and Defamation;"Complaint of Shri J.S. Samraj, Director, Central Soil and Water Conservation Research and Training Institute, Dehradun, U.P. against ""The Green Valleys'";December 18, 2000;Upheld;AnnualReport2001;5069
5081;Press and Defamation;Complaint of Shri Devender Kumar Aggarwal, Managing Director, Kashi Vishwanath Steels Ltd., Kashipur, U.P. against Aaj, Bareilly;December 18,2000;Directions ;AnnualReport2001;5081
5082;Press and Defamation;Complaint of Shri Girija Shankar Panda, OES, Inspector of Schools, Baripada against The Samaya, Bhubaneshwar;December 18,2000;Directions ;AnnualReport2001;5082
5091;Press and Defamation;Complaint of Smt. H.R. Radhamani, Inspector of Police, Women Police Station, Lashkar Mohalla, Mysore, Karnataka against Vruthantha, Mysore, Karnataka;January 24, 2001;Upheld;AnnualReport2001;5091
5092;Press and Defamation;Complaint of Chairman, Mysore Pinjrapole Society, Mysore against Namage Nimage, Mysore;January 24, 2001;Upheld;AnnualReport2001;5092
5095;Press and Defamation;Complaint of Shri P.Trinadha Rao, Advocate Convenor, Legal Cell, Integrated Tribal Development Agency, Rampachodavaran, East Godawari, Andhra Pradesh against Eenadu, East Godavari;January 24,2001;Dismissed with observations;AnnualReport2001;5095
5096;Press and Defamation;Complaint of Shri J. Bismi, Chennai against Dinamalar, Chennai;January 24,2001; Upheld;AnnualReport2001;5096
5123;Press and Defamation;Complaint of Assistant Plant Conservator, Munger against Hindustan, Patna;March 26,2001;Upheld;AnnualReport2001;5123
5136;Press and Defamation;Complaint of Ms. Uma Bharti, Hon'ble Minister of Sports against The Week, Kochi;March 26,2001;Dismissed on merit;AnnualReport2001;5136
5145;Communal, Casteist and Anti-National Writings;Complaint of Shri M.Baquer Hussain Shaz, Convenor, International Gharib Nawaz Mission, Hyderabad against Swatantra Vartha, Hyderabad;August 28, 2000;Upheld;AnnualReport2001;5145
5157;Communal, Casteist and Anti-National Writings;Complaint of the Chairman, National Commission for Minorities, New Delhi against Panchjanaya, New Delhi;March 26, 2001;Upheld;AnnualReport2001;5157
5160;Press and Morality;Suo-motu inquiry against Blitz on Sunday regarding publication of obscene photographs in the issue dated 21.2.1999.;August 28, 2000 ;Upheld;AnnualReport2001;5160
5161;Press and Morality;"Suo-motu inquiry against The Times of India for publication of obscene photograph in ""Delhi Times"" dated 2.2.2000.";August 28, 2000 ;Upheld;AnnualReport2001;5161
5162;Press and Morality;Suo-motu action against The Asian Age, New Delhi for publication of obscene photographs;December 18,2000;Upheld ;AnnualReport2001;5162
5163;Press and Morality;Suo-motu action against Blitz on Sunday, Mumbai for publication of obscene photographs;December 18, 2000;Upheld;AnnualReport2001;5163
5164;Press and Morality;Suo-motu inquiry against The Hindustan Times for publication of objectionable advertisements;December 18, 2000;Proceedings dropped;AnnualReport2001;5164
5165;Press and Morality;Suo-motu inquiry against The Asian Age for publication of obscene photograph in The Asian Age dated 7.3.2000.;December 18, 2000;Upheld ;AnnualReport2001;5165
5169;Press and Morality;Suo-motu inquiry against The Asian Age for publishing obscene photographs in its issue dated 26.6.2000.;March 26,2001;Assurance;AnnualReport2001;5169
5170;Press and Morality;Suo-motu inquiry against The Asian Age for publishing obscene photographs in its issues dated 18,19 and 20.; 20 July, 2000.;Assurance;AnnualReport2001;5170
5171;Press and Morality;Suo-motu inquiry against The Asian Age for publishing obscene photograph in the issue dated 14.9.2000.; 20 July, 2000.;Assurance;AnnualReport2001;5171
5187;Principles and Publications;Complaint of Dr. J.N. Pandeya, Director General, Indian Association of Child & Women Relief, Govt. of India, Ministry of Health & Family Welfare, Lucknow against Asian Message;November 15, 1996;Upheld (Reprimanded);AnnualReport1997;5187
5188;Principles and Publications;;Complaint of the President, Yarn Mill Mazdoor Morcha, Band, UP against The Editor, Dainik Jagran, Kanpur (UP);Dismissed for non-prosecution;AnnualReport1997;5188
5189;Principles and Publications;;Complaint of Shri M.R. Anwar against Dainik Navbharat, Bhopal;Warned;AnnualReport1997;5189
5199;Principles and Publications;Complaint of Shri M. Rabey Hasani Nadwi, Principal, Media Research Centre,;Lucknow against Panch Janya, New Delhi;Settled;AnnualReport1997;5199
